     n         h                l                k               nl               nk
   197  -0.34514074E+01   0.46310402E-02  -0.76708585E-02   0.91231492E+00  -0.15111591E+01
   198  -0.34563768E+01   0.46087048E-02  -0.76349373E-02   0.91252355E+00  -0.15117176E+01
   199  -0.34613462E+01   0.45865951E-02  -0.75994061E-02   0.91273242E+00  -0.15122818E+01
   200  -0.34663156E+01   0.45647079E-02  -0.75642590E-02   0.91294158E+00  -0.15128518E+01
   201  -0.34712850E+01   0.45430402E-02  -0.75294902E-02   0.91315108E+00  -0.15134275E+01
   202  -0.34762544E+01   0.45215890E-02  -0.74950938E-02   0.91336098E+00  -0.15140089E+01
   203  -0.34812238E+01   0.45003513E-02  -0.74610643E-02   0.91357131E+00  -0.15145961E+01
   204  -0.34861932E+01   0.44793243E-02  -0.74273962E-02   0.91378216E+00  -0.15151888E+01
   205  -0.34911626E+01   0.44585050E-02  -0.73940841E-02   0.91399352E+00  -0.15157872E+01
   206  -0.34961320E+01   0.44378909E-02  -0.73611227E-02   0.91420553E+00  -0.15163913E+01
   207  -0.35011013E+01   0.44174790E-02  -0.73285068E-02   0.91441815E+00  -0.15170009E+01
   208  -0.35060706E+01   0.43972667E-02  -0.72962313E-02   0.91463147E+00  -0.15176161E+01
   209  -0.35110399E+01   0.43772513E-02  -0.72642911E-02   0.91484552E+00  -0.15182368E+01
   210  -0.35160090E+01   0.43574304E-02  -0.72326815E-02   0.91506038E+00  -0.15188631E+01
   211  -0.35209782E+01   0.43378012E-02  -0.72013976E-02   0.91527605E+00  -0.15194949E+01
   212  -0.35259472E+01   0.43183614E-02  -0.71704345E-02   0.91549262E+00  -0.15201321E+01
   213  -0.35309162E+01   0.42991084E-02  -0.71397879E-02   0.91571009E+00  -0.15207748E+01
   214  -0.35358851E+01   0.42800398E-02  -0.71094529E-02   0.91592852E+00  -0.15214229E+01
   215  -0.35408538E+01   0.42611533E-02  -0.70794253E-02   0.91614796E+00  -0.15220764E+01
   216  -0.35458225E+01   0.42424465E-02  -0.70497005E-02   0.91636844E+00  -0.15227353E+01
   217  -0.35507910E+01   0.42239171E-02  -0.70202744E-02   0.91659001E+00  -0.15233995E+01
   218  -0.35557594E+01   0.42055628E-02  -0.69911426E-02   0.91681269E+00  -0.15240691E+01
   219  -0.35607277E+01   0.41873814E-02  -0.69623011E-02   0.91703653E+00  -0.15247439E+01
   220  -0.35656958E+01   0.41693708E-02  -0.69337456E-02   0.91726158E+00  -0.15254240E+01
   221  -0.35706637E+01   0.41515288E-02  -0.69054723E-02   0.91748786E+00  -0.15261094E+01
   222  -0.35756315E+01   0.41338532E-02  -0.68774773E-02   0.91771541E+00  -0.15268000E+01
   223  -0.35805991E+01   0.41163420E-02  -0.68497565E-02   0.91794427E+00  -0.15274957E+01
   224  -0.35855664E+01   0.40989932E-02  -0.68223063E-02   0.91817448E+00  -0.15281966E+01
   225  -0.35905336E+01   0.40818046E-02  -0.67951229E-02   0.91840603E+00  -0.15289027E+01
   226  -0.35955005E+01   0.40647745E-02  -0.67682026E-02   0.91863904E+00  -0.15296138E+01
   227  -0.36004673E+01   0.40479007E-02  -0.67415419E-02   0.91887346E+00  -0.15303300E+01
   228  -0.36054337E+01   0.40311814E-02  -0.67151372E-02   0.91910936E+00  -0.15310513E+01
   229  -0.36103999E+01   0.40146148E-02  -0.66889850E-02   0.91934679E+00  -0.15317776E+01
   230  -0.36153659E+01   0.39981988E-02  -0.66630820E-02   0.91958572E+00  -0.15325089E+01
   231  -0.36203315E+01   0.39819318E-02  -0.66374247E-02   0.91982625E+00  -0.15332451E+01
   232  -0.36252969E+01   0.39658119E-02  -0.66120099E-02   0.92006836E+00  -0.15339863E+01
   233  -0.36302620E+01   0.39498374E-02  -0.65868343E-02   0.92031211E+00  -0.15347324E+01
   234  -0.36352267E+01   0.39340064E-02  -0.65618947E-02   0.92055750E+00  -0.15354834E+01
   235  -0.36401911E+01   0.39183174E-02  -0.65371881E-02   0.92080459E+00  -0.15362392E+01
   236  -0.36451552E+01   0.39027685E-02  -0.65127113E-02   0.92105337E+00  -0.15369999E+01
   237  -0.36501189E+01   0.38873582E-02  -0.64884612E-02   0.92130389E+00  -0.15377653E+01
   238  -0.36550822E+01   0.38720848E-02  -0.64644350E-02   0.92155618E+00  -0.15385355E+01
   239  -0.36600452E+01   0.38569468E-02  -0.64406297E-02   0.92181029E+00  -0.15393105E+01
   240  -0.36650077E+01   0.38419424E-02  -0.64170424E-02   0.92206618E+00  -0.15400902E+01
   241  -0.36699699E+01   0.38270701E-02  -0.63936703E-02   0.92232389E+00  -0.15408745E+01
   242  -0.36749316E+01   0.38123285E-02  -0.63705105E-02   0.92258350E+00  -0.15416635E+01
   243  -0.36798929E+01   0.37977160E-02  -0.63475604E-02   0.92284499E+00  -0.15424572E+01
   244  -0.36848537E+01   0.37832310E-02  -0.63248173E-02   0.92310836E+00  -0.15432554E+01
   245  -0.36898141E+01   0.37688722E-02  -0.63022784E-02   0.92337369E+00  -0.15440582E+01
   246  -0.36947740E+01   0.37546381E-02  -0.62799413E-02   0.92364097E+00  -0.15448656E+01
   247  -0.36997334E+01   0.37405272E-02  -0.62578033E-02   0.92391022E+00  -0.15456774E+01
   248  -0.37046924E+01   0.37265381E-02  -0.62358619E-02   0.92418145E+00  -0.15464938E+01
   249  -0.37096507E+01   0.37126695E-02  -0.62141146E-02   0.92445471E+00  -0.15473145E+01
   250  -0.37146086E+01   0.36989200E-02  -0.61925590E-02   0.92473000E+00  -0.15481398E+01
   251  -0.37195659E+01   0.36852883E-02  -0.61711927E-02   0.92500736E+00  -0.15489694E+01
   252  -0.37245227E+01   0.36717730E-02  -0.61500133E-02   0.92528680E+00  -0.15498034E+01
   253  -0.37294789E+01   0.36583727E-02  -0.61290184E-02   0.92556829E+00  -0.15506417E+01
   254  -0.37344345E+01   0.36450863E-02  -0.61082059E-02   0.92585192E+00  -0.15514843E+01
   255  -0.37393895E+01   0.36319125E-02  -0.60875733E-02   0.92613769E+00  -0.15523312E+01
   256  -0.37443439E+01   0.36188499E-02  -0.60671186E-02   0.92642557E+00  -0.15531824E+01
